t,N,F,d,C,a,dadN,G_max,Delta_sqrt(G),R,Cyclic_Energy,Monotonic_Energy,Total_Energy,dU_cyc/dN,dU_tot/dN
[s],[cycles],[N],[mm],[mm/N],[mm],[mm/cycle],[N/mm],[N/mm],[-],[mJ],[mJ],[mJ],[mJ],[mJ]
4.22E+01,9.95E+01,1.17E+02,7.54E-01,3.94E-03,5.64E+01,3.56E-02,1.53E+00,8.80E-01,2.00E-01,6.47E+02,2.69E+01,6.74E+02,0.99608343,0.994153009
4.23E+01,100,5.85E+02,2.60E+00,3.94E-03,5.64E+01,3.54E-02,1.53E+00,8.80E-01,2.00E-01,6.47E+02,2.69E+01,6.74E+02,0.990417674,0.988529945
6.22E+01,199,1.11E+02,7.53E-01,4.29E-03,5.89E+01,1.84E-02,1.35E+00,7.74E-01,2.05E-01,6.03E+02,2.65E+01,6.29E+02,0.452609412,0.453740649
6.23E+01,200,5.42E+02,2.60E+00,4.29E-03,5.89E+01,1.83E-02,1.35E+00,7.74E-01,2.05E-01,6.03E+02,2.65E+01,6.29E+02,0.450034954,0.451174231
8.21E+01,299,5.17E+02,2.60E+00,4.49E-03,6.04E+01,1.25E-02,1.26E+00,7.22E-01,2.04E-01,5.75E+02,2.49E+01,5.99E+02,0.284776776,0.286233402
8.22E+01,3.00E+02,1.05E+02,7.52E-01,4.49E-03,6.04E+01,1.24E-02,1.26E+00,7.22E-01,2.04E-01,5.75E+02,2.49E+01,5.99E+02,0.28423581,0.285692724
1.02E+02,399,1.03E+02,7.53E-01,4.70E-03,6.15E+01,9.46E-03,1.19E+00,6.75E-01,2.08E-01,5.53E+02,2.50E+01,5.78E+02,0.205074295,0.206504206
1.02E+02,4.00E+02,4.96E+02,2.60E+00,4.70E-03,6.15E+01,9.45E-03,1.19E+00,6.75E-01,2.08E-01,5.53E+02,2.50E+01,5.78E+02,0.204782237,0.206211764
1.22E+02,499,1.01E+02,7.52E-01,4.84E-03,6.23E+01,7.64E-03,1.14E+00,6.48E-01,2.09E-01,5.38E+02,2.45E+01,5.63E+02,0.158993716,0.160331646
1.22E+02,500,4.82E+02,2.60E+00,4.84E-03,6.23E+01,7.63E-03,1.14E+00,6.48E-01,2.09E-01,5.38E+02,2.45E+01,5.63E+02,0.158631897,0.159968832
1.42E+02,6.00E+02,9.77E+01,7.53E-01,4.96E-03,6.30E+01,6.42E-03,1.10E+00,6.24E-01,2.08E-01,5.24E+02,2.37E+01,5.47E+02,0.129031066,0.130269752
1.42E+02,600,4.70E+02,2.60E+00,4.96E-03,6.30E+01,6.41E-03,1.10E+00,6.24E-01,2.08E-01,5.24E+02,2.37E+01,5.47E+02,0.128908709,0.130146914
1.62E+02,699,9.69E+01,7.52E-01,5.09E-03,6.36E+01,5.54E-03,1.06E+00,6.02E-01,2.11E-01,5.13E+02,2.39E+01,5.37E+02,0.108343623,0.109491261
1.62E+02,700,4.60E+02,2.60E+00,5.09E-03,6.36E+01,5.54E-03,1.06E+00,6.02E-01,2.11E-01,5.13E+02,2.39E+01,5.37E+02,0.108167505,0.109314277
1.82E+02,799,4.52E+02,2.60E+00,5.18E-03,6.42E+01,4.88E-03,1.04E+00,5.90E-01,2.09E-01,5.05E+02,2.30E+01,5.28E+02,0.093050808,0.094116961
1.82E+02,8.00E+02,9.44E+01,7.51E-01,5.18E-03,6.42E+01,4.88E-03,1.04E+00,5.90E-01,2.09E-01,5.05E+02,2.30E+01,5.28E+02,0.092984587,0.094050358
2.02E+02,899,9.40E+01,7.52E-01,5.30E-03,6.46E+01,4.36E-03,1.01E+00,5.70E-01,2.12E-01,4.96E+02,2.34E+01,5.19E+02,0.081365417,0.082359815
2.02E+02,900,4.43E+02,2.60E+00,5.30E-03,6.46E+01,4.36E-03,1.01E+00,5.70E-01,2.12E-01,4.96E+02,2.34E+01,5.19E+02,0.081262542,0.082256269
2.22E+02,999,4.37E+02,2.60E+00,5.37E-03,6.50E+01,3.94E-03,9.89E-01,5.59E-01,2.12E-01,4.89E+02,2.31E+01,5.12E+02,0.072162714,0.073093965
2.22E+02,999,9.28E+01,7.53E-01,5.37E-03,6.50E+01,3.94E-03,9.89E-01,5.59E-01,2.12E-01,4.89E+02,2.31E+01,5.12E+02,0.072162714,0.073093965
2.69E+02,1.10E+03,9.08E+01,7.51E-01,5.47E-03,6.54E+01,3.60E-03,9.65E-01,5.47E-01,2.12E-01,4.80E+02,2.26E+01,5.03E+02,0.064705054,0.065580286
2.69E+02,1.10E+03,4.29E+02,2.60E+00,5.47E-03,6.54E+01,3.60E-03,9.65E-01,5.47E-01,2.12E-01,4.80E+02,2.26E+01,5.03E+02,0.064705054,0.065580286
2.89E+02,1199,9.12E+01,7.50E-01,5.55E-03,6.58E+01,3.31E-03,9.49E-01,5.35E-01,2.15E-01,4.76E+02,2.31E+01,4.99E+02,0.058630305,0.059456322
2.89E+02,1.20E+03,4.24E+02,2.60E+00,5.55E-03,6.58E+01,3.31E-03,9.49E-01,5.35E-01,2.15E-01,4.76E+02,2.31E+01,4.99E+02,0.058602493,0.059428278
3.09E+02,1.30E+03,8.81E+01,7.50E-01,5.57E-03,6.61E+01,3.07E-03,9.37E-01,5.33E-01,2.10E-01,4.70E+02,2.16E+01,4.92E+02,0.053498422,0.054280093
3.09E+02,1300,4.20E+02,2.60E+00,5.57E-03,6.61E+01,3.07E-03,9.37E-01,5.33E-01,2.10E-01,4.70E+02,2.16E+01,4.92E+02,0.053475007,0.05425647
3.29E+02,1.40E+03,8.83E+01,7.49E-01,5.66E-03,6.64E+01,2.86E-03,9.22E-01,5.22E-01,2.13E-01,4.66E+02,2.21E+01,4.88E+02,0.049170114,0.049912221
3.29E+02,1400,4.16E+02,2.60E+00,5.66E-03,6.64E+01,2.86E-03,9.22E-01,5.22E-01,2.13E-01,4.66E+02,2.21E+01,4.88E+02,0.049150131,0.049892049
3.49E+02,1.50E+03,8.73E+01,7.49E-01,5.71E-03,6.66E+01,2.68E-03,9.08E-01,5.14E-01,2.12E-01,4.61E+02,2.17E+01,4.83E+02,0.045456009,0.046162445
3.49E+02,1500,4.11E+02,2.60E+00,5.71E-03,6.66E+01,2.68E-03,9.08E-01,5.14E-01,2.12E-01,4.61E+02,2.17E+01,4.83E+02,0.045438766,0.046145033
3.69E+02,1.60E+03,8.58E+01,7.50E-01,5.76E-03,6.69E+01,2.52E-03,8.94E-01,5.07E-01,2.11E-01,4.55E+02,2.12E+01,4.76E+02,0.042236149,0.042910271
3.69E+02,1.60E+03,4.06E+02,2.60E+00,5.76E-03,6.69E+01,2.52E-03,8.94E-01,5.07E-01,2.11E-01,4.55E+02,2.12E+01,4.76E+02,0.042236149,0.042910271
3.89E+02,1699,4.04E+02,2.60E+00,5.81E-03,6.71E+01,2.38E-03,8.85E-01,5.01E-01,2.13E-01,4.53E+02,2.15E+01,4.74E+02,0.039432864,0.04007772
3.89E+02,1.70E+03,8.60E+01,7.51E-01,5.81E-03,6.72E+01,2.38E-03,8.85E-01,5.01E-01,2.13E-01,4.53E+02,2.15E+01,4.74E+02,0.039419662,0.040064377
4.09E+02,1.80E+03,8.56E+01,7.49E-01,5.90E-03,6.74E+01,2.25E-03,8.71E-01,4.92E-01,2.14E-01,4.48E+02,2.16E+01,4.70E+02,0.036936486,0.037554328
4.09E+02,1.80E+03,3.99E+02,2.60E+00,5.90E-03,6.74E+01,2.25E-03,8.71E-01,4.92E-01,2.14E-01,4.48E+02,2.16E+01,4.70E+02,0.036936486,0.037554328
4.29E+02,1.90E+03,8.40E+01,7.50E-01,5.91E-03,6.76E+01,2.14E-03,8.64E-01,4.89E-01,2.12E-01,4.44E+02,2.09E+01,4.65E+02,0.034731766,0.035324954
4.29E+02,1900,3.97E+02,2.60E+00,5.91E-03,6.76E+01,2.14E-03,8.64E-01,4.89E-01,2.12E-01,4.44E+02,2.09E+01,4.65E+02,0.034721364,0.035314434
4.49E+02,2.00E+03,8.34E+01,7.50E-01,5.98E-03,6.78E+01,2.03E-03,8.53E-01,4.83E-01,2.12E-01,4.40E+02,2.08E+01,4.61E+02,0.032761956,0.033332444
4.49E+02,2.00E+03,3.93E+02,2.60E+00,5.98E-03,6.78E+01,2.03E-03,8.53E-01,4.83E-01,2.12E-01,4.40E+02,2.08E+01,4.61E+02,0.032761956,0.033332444
4.96E+02,2099,8.40E+01,7.52E-01,6.07E-03,6.80E+01,1.94E-03,8.41E-01,4.73E-01,2.16E-01,4.37E+02,2.14E+01,4.58E+02,0.031000466,0.031550086
4.97E+02,2.10E+03,3.88E+02,2.60E+00,6.07E-03,6.80E+01,1.94E-03,8.41E-01,4.73E-01,2.16E-01,4.37E+02,2.14E+01,4.58E+02,0.030992065,0.031541584
5.16E+02,2199,8.35E+01,7.51E-01,6.09E-03,6.82E+01,1.86E-03,8.35E-01,4.70E-01,2.16E-01,4.34E+02,2.12E+01,4.56E+02,0.029401269,0.02993145
5.17E+02,2200,3.87E+02,2.60E+00,6.09E-03,6.82E+01,1.86E-03,8.35E-01,4.70E-01,2.16E-01,4.34E+02,2.12E+01,4.56E+02,0.029386061,0.029916055
5.36E+02,2299,8.39E+01,7.51E-01,6.16E-03,6.84E+01,1.78E-03,8.26E-01,4.63E-01,2.19E-01,4.32E+02,2.17E+01,4.54E+02,0.027950336,0.028462453
5.37E+02,2.30E+03,3.84E+02,2.60E+00,6.16E-03,6.84E+01,1.78E-03,8.26E-01,4.63E-01,2.19E-01,4.32E+02,2.17E+01,4.54E+02,0.02794342,0.02845545
5.56E+02,2399,8.35E+01,7.51E-01,6.20E-03,6.86E+01,1.71E-03,8.18E-01,4.58E-01,2.19E-01,4.29E+02,2.16E+01,4.51E+02,0.026628332,0.027123617
